Год;Средняя зарплата
2000;1240
2001;1833
2002;2927
2003;3387
2004;4203
2005;5430
2006;6983
2007;8778
2008;11317
2009;13294
2010;14075
2011;15809
2012;18995
2013;23458
2014;25862
2015;26928
2016;28088
2017;30258
2018;34361
2019;37072
2020;39563
2021;43391
2022;48400
2023;54263
