Год;Средняя зарплата
2000;2640
2001;3859
2002;4807
2003;6177
2004;7305
2005;9043
2006;10869
2007;14333
2008;18574
2009;18122
2010;21172
2011;23682
2012;25951
2013;27701
2014;29354
2015;29960
2016;32332
2017;33678
2018;38518
2019;42630
2020;44738
2021;51944
2022;60850
2023;68944
